iter	Passed	Remaining
0	151	151389
1	152	76308
2	154	51271
3	155	38740
4	156	31221
5	158	26206
6	159	22618
7	160	19944
8	162	17863
9	164	16322
10	179	16117
11	181	14962
12	183	13958
13	185	13063
14	187	12295
15	188	11605
16	190	10989
17	191	10451
18	192	9963
19	194	9519
20	195	9123
21	196	8732
22	197	8376
23	197	8043
24	198	7735
25	198	7453
26	199	7190
27	200	6946
28	200	6719
29	201	6507
30	201	6308
31	202	6122
32	202	5947
33	203	5783
34	204	5628
35	204	5481
36	205	5342
37	205	5210
38	206	5086
39	207	4970
40	207	4857
41	208	4750
42	208	4648
43	209	4550
44	209	4456
45	210	4367
46	211	4281
47	211	4199
48	212	4123
49	213	4047
50	213	3975
51	214	3906
52	214	3839
53	215	3774
54	216	3712
55	216	3651
56	217	3593
57	217	3537
58	218	3482
59	218	3429
60	219	3378
61	220	3329
62	220	3281
63	221	3235
64	221	3191
65	222	3148
66	223	3105
67	223	3060
68	223	3020
69	224	2982
70	225	2944
71	225	2908
72	226	2872
73	226	2837
74	227	2805
75	228	2772
76	228	2740
77	229	2709
78	229	2678
79	230	2649
80	230	2620
81	231	2591
82	232	2564
83	232	2536
84	233	2508
85	233	2482
86	233	2455
87	234	2431
88	235	2407
89	235	2384
90	236	2361
91	236	2338
92	237	2316
93	238	2295
94	238	2273
95	239	2252
96	239	2232
97	240	2212
98	240	2192
99	241	2173
100	242	2156
101	242	2135
102	243	2118
103	243	2100
104	244	2083
105	244	2066
106	245	2049
107	246	2032
108	246	2016
109	247	2000
110	247	1984
111	248	1969
112	248	1953
113	249	1938
114	250	1924
115	250	1909
116	251	1895
117	251	1881
118	252	1867
119	252	1853
120	253	1840
121	253	1827
122	254	1812
123	254	1800
124	255	1787
125	256	1775
126	256	1763
127	257	1751
128	257	1739
129	258	1728
130	258	1716
131	259	1705
132	259	1694
133	260	1683
134	261	1673
135	261	1662
136	262	1651
137	262	1640
138	263	1630
139	263	1620
140	264	1611
141	265	1601
142	265	1592
143	266	1582
144	266	1573
145	267	1564
146	268	1555
147	268	1546
148	269	1537
149	269	1528
150	270	1520
151	270	1511
152	271	1503
153	272	1496
154	272	1487
155	273	1479
156	274	1471
157	274	1463
158	275	1455
159	275	1447
160	276	1440
161	276	1432
162	277	1424
163	278	1417
164	278	1410
165	279	1403
166	279	1396
167	280	1389
168	281	1382
169	281	1375
170	282	1368
171	282	1361
172	283	1354
173	283	1347
174	284	1341
175	285	1334
176	285	1328
177	286	1322
178	287	1316
179	287	1311
180	288	1303
181	288	1297
182	289	1291
183	289	1285
184	290	1279
185	291	1273
186	291	1267
187	292	1261
188	292	1256
189	293	1250
190	294	1245
191	294	1240
192	295	1234
193	295	1229
194	296	1223
195	297	1218
196	297	1213
197	298	1207
198	298	1202
199	299	1197
200	300	1192
201	300	1187
202	301	1183
203	301	1178
204	302	1173
205	303	1168
206	303	1163
207	304	1158
208	304	1153
209	305	1148
210	305	1144
211	306	1139
212	307	1134
213	307	1130
214	308	1125
215	308	1121
216	309	1116
217	310	1112
218	310	1107
219	311	1103
220	311	1098
221	312	1094
222	312	1090
223	313	1085
224	314	1081
225	314	1077
226	315	1073
227	315	1069
228	316	1065
229	317	1061
230	317	1057
231	318	1053
232	318	1049
233	319	1045
234	320	1041
235	320	1037
236	321	1033
237	321	1029
238	322	1026
239	322	1022
240	323	1019
241	324	1017
242	325	1015
243	327	1013
244	328	1011
245	329	1010
246	330	1007
247	331	1003
248	331	1000
249	332	998
250	333	995
251	334	991
252	334	988
253	335	984
254	335	981
255	336	977
256	336	974
257	337	970
258	338	967
259	338	964
260	339	960
261	339	957
262	340	953
263	340	950
264	341	947
265	342	943
266	342	940
267	343	937
268	343	934
269	344	931
270	345	928
271	345	924
272	346	921
273	346	918
274	347	915
275	348	912
276	348	909
277	349	906
278	349	903
279	350	900
280	350	897
281	351	895
282	352	892
283	352	889
284	353	886
285	353	883
286	354	880
287	354	877
288	355	874
289	356	871
290	356	868
291	357	866
292	357	863
293	358	860
294	358	857
295	359	855
296	360	852
297	360	849
298	361	846
299	361	844
300	362	841
301	363	838
302	363	836
303	364	833
304	364	831
305	365	828
306	365	825
307	366	823
308	366	820
309	367	818
310	368	815
311	368	813
312	369	810
313	369	807
314	370	805
315	370	802
316	371	800
317	372	797
318	372	795
319	373	793
320	373	790
321	374	788
322	374	785
323	375	783
324	376	781
325	376	778
326	377	776
327	378	774
328	378	772
329	379	769
330	379	767
331	380	765
332	380	762
333	381	760
334	382	758
335	382	756
336	383	753
337	383	751
338	384	749
339	384	747
340	385	745
341	386	742
342	386	740
343	387	738
344	387	736
345	388	734
346	388	731
347	389	729
348	390	727
349	390	725
350	391	723
351	391	721
352	392	719
353	393	717
354	393	715
355	394	712
356	394	710
357	395	708
358	395	706
359	396	704
360	396	702
361	397	700
362	398	698
363	398	696
364	399	694
365	399	692
366	400	690
367	400	688
368	401	686
369	402	684
370	403	683
371	403	681
372	404	680
373	405	678
374	406	676
375	406	675
376	407	673
377	408	671
378	408	669
379	409	668
380	410	666
381	411	665
382	411	663
383	412	661
384	413	660
385	413	658
386	414	656
387	414	654
388	415	652
389	416	650
390	416	648
391	417	647
392	417	645
393	418	643
394	418	641
395	419	639
396	420	638
397	420	636
398	421	634
399	422	633
400	422	631
401	423	629
402	423	628
403	424	626
404	425	624
405	425	622
406	426	621
407	426	619
408	427	617
409	427	615
410	428	614
411	429	612
412	429	610
413	430	608
414	430	607
415	431	605
416	431	603
417	432	602
418	433	600
419	433	598
420	434	597
421	434	595
422	435	593
423	435	592
424	436	590
425	437	589
426	437	587
427	438	585
428	438	584
429	439	582
430	440	581
431	440	579
432	441	577
433	441	576
434	442	574
435	443	573
436	443	571
437	444	569
438	444	568
439	445	566
440	445	565
441	446	563
442	447	562
443	447	560
444	448	559
