iter	Passed	Remaining
0	98	98167
1	99	49555
2	100	33399
3	101	25261
4	102	20354
5	103	17077
6	103	14738
7	105	13024
8	106	11685
9	110	10896
10	111	10024
11	112	9239
12	113	8581
13	113	8010
14	114	7509
15	114	7069
16	115	6685
17	116	6350
18	117	6040
19	117	5761
20	118	5510
21	118	5281
22	119	5072
23	119	4879
24	120	4702
25	121	4539
26	124	4472
27	125	4345
28	125	4213
29	126	4087
30	127	3969
31	127	3859
32	128	3756
33	128	3659
34	129	3567
35	130	3481
36	130	3398
37	131	3321
38	131	3246
39	132	3176
40	133	3111
41	133	3052
42	134	2991
43	135	2933
44	137	2928
45	139	2896
46	140	2852
47	141	2811
48	142	2770
49	144	2743
50	145	2705
51	146	2668
52	147	2631
53	148	2595
54	149	2561
55	152	2574
56	153	2540
57	154	2506
58	155	2473
59	155	2441
60	156	2410
61	157	2380
62	158	2353
63	159	2326
64	160	2301
65	160	2276
66	161	2251
67	162	2225
68	163	2204
69	165	2197
70	166	2182
71	168	2170
72	169	2151
73	170	2130
74	170	2108
75	172	2091
76	172	2072
77	173	2051
78	174	2031
79	174	2011
80	178	2024
81	181	2035
82	182	2020
83	183	2003
84	184	1987
85	185	1969
86	185	1951
87	186	1933
88	187	1916
89	187	1898
90	188	1881
91	188	1864
92	189	1848
93	190	1832
94	190	1816
95	191	1801
96	191	1786
97	192	1771
98	193	1757
99	193	1743
100	197	1754
101	198	1747
102	199	1737
103	200	1728
104	201	1715
105	201	1702
106	202	1690
107	203	1678
108	203	1666
109	204	1654
110	205	1642
111	205	1630
112	206	1618
113	206	1607
114	207	1595
115	207	1584
116	208	1573
117	212	1585
118	213	1578
119	214	1571
120	214	1560
121	215	1549
122	215	1539
123	216	1529
124	217	1519
125	217	1510
126	218	1500
127	218	1490
128	219	1481
129	220	1472
130	220	1464
131	221	1456
132	222	1447
133	222	1438
134	223	1430
135	226	1438
136	228	1441
137	229	1435
138	230	1427
139	231	1420
140	231	1412
141	232	1403
142	232	1395
143	233	1387
144	234	1379
145	234	1372
146	235	1364
147	235	1357
148	236	1349
149	236	1342
150	237	1335
151	242	1352
152	244	1353
153	245	1347
154	245	1340
155	246	1333
156	247	1327
157	247	1320
158	248	1314
159	249	1308
160	249	1300
161	250	1294
162	250	1287
163	251	1281
164	251	1274
165	252	1269
166	253	1263
167	256	1271
168	258	1270
169	259	1266
170	260	1260
171	260	1255
172	261	1249
173	261	1243
174	262	1237
175	263	1231
176	263	1225
177	264	1220
178	264	1214
179	265	1209
180	266	1204
181	267	1200
182	267	1195
183	268	1189
184	272	1199
185	273	1195
186	273	1190
187	274	1187
188	275	1183
189	276	1179
190	277	1174
191	277	1169
192	278	1164
193	278	1159
194	279	1154
195	280	1149
196	280	1144
197	281	1139
198	282	1135
199	282	1131
200	285	1135
201	287	1134
202	288	1131
203	289	1129
204	290	1125
205	290	1120
206	291	1116
207	291	1111
208	292	1107
209	293	1103
210	293	1099
211	294	1094
212	295	1090
213	295	1086
214	296	1082
215	297	1080
216	301	1086
217	302	1085
218	303	1081
219	303	1077
220	304	1073
221	305	1068
222	305	1064
223	306	1060
224	306	1056
225	307	1052
226	307	1048
227	308	1045
228	309	1041
229	309	1037
230	310	1033
231	311	1031
232	312	1027
233	312	1023
234	315	1025
235	316	1024
236	317	1023
237	318	1020
238	319	1016
239	320	1013
240	320	1010
241	321	1007
242	322	1003
243	322	1000
244	323	996
245	324	993
246	324	989
247	325	985
248	325	982
249	326	979
250	326	975
251	327	972
252	330	975
253	331	974
254	332	971
255	333	968
256	333	964
257	334	961
258	335	958
259	335	955
260	336	952
261	337	949
262	337	946
263	338	943
264	338	940
265	339	936
266	340	933
267	340	930
268	341	928
269	342	925
270	342	922
271	345	924
272	346	922
273	347	921
274	348	919
275	349	916
276	350	913
277	350	910
278	351	907
279	351	904
280	352	901
281	353	899
282	353	896
283	354	893
284	355	891
285	356	889
286	357	887
287	362	896
288	363	893
289	363	890
290	364	888
291	365	885
292	365	882
293	366	880
294	367	877
295	367	874
296	368	871
297	369	869
298	369	867
299	370	864
300	371	861
301	371	858
302	372	856
303	372	853
304	374	852
305	375	850
306	376	849
307	376	846
308	377	844
309	379	844
310	380	842
311	381	840
312	382	838
313	382	836
314	383	833
315	383	830
316	389	839
317	390	838
318	391	836
319	393	835
320	394	834
321	395	832
322	396	830
323	397	828
324	398	826
325	398	824
326	399	822
327	406	832
328	408	833
329	412	837
330	413	836
331	421	848
332	422	847
333	423	845
